block	n_samples	n_features	roc_auc_mean	roc_auc_sd	pr_auc_mean	pr_auc_sd	balanced_accuracy_mean	balanced_accuracy_sd	accuracy_mean	accuracy_sd	f1_mean	f1_sd
rf_234_metabolites_clinical	234	605	0.8982634698634699	0.04593367061230195	0.8939257840990656	0.05339711064843938	0.8249655810855812	0.04851197715809165	0.8398112858464385	0.043867292686018494	0.8711683583645893	0.031241464734932396
rf_234_metabolites_sq	234	654	0.8982150649350649	0.04502614267544688	0.8936575115290896	0.05329320230960035	0.8247598001998002	0.04876226764059371	0.8394708603145236	0.04402848285691046	0.8707752820753858	0.03134622110783017
rf_234_taxa_metabolites_clinical	234	668	0.8979536996336996	0.04504076248885733	0.8937081295267637	0.051908819563968006	0.825245954045954	0.047694180581341575	0.8399962997224792	0.04306642694987733	0.8712068301916026	0.03068449775657935
rf_234_metabolites_only	234	601	0.8977269663669665	0.04573917877875055	0.8929019344576855	0.05324985991012521	0.8262950116550116	0.04968398880290084	0.8410120259019426	0.0450465093498964	0.8720506004339366	0.03223912621876907
rf_234_all_taxa_sq_metabolites	234	717	0.8975889710289712	0.045524024267733054	0.8930038331643535	0.05345548137880838	0.8247574558774559	0.04886074979414536	0.8395578168362626	0.044136267400494034	0.8709540544616775	0.031389314012196745
rf_234_metabolites_sq_clinical	234	658	0.8975822311022311	0.045567071208886915	0.8915700105434202	0.054493356112005197	0.8256419047619047	0.047920228664959715	0.84040888066605	0.043284252289367386	0.8715621307346719	0.030805512567807433
rf_234_all_taxa_sq_metabolites_clinical	234	721	0.8974493240093241	0.044811750196233686	0.8926575536632445	0.05258044058207811	0.8238818381618381	0.04811233503693102	0.838704902867715	0.04341733734819307	0.8702320011113676	0.03086518320841672
rf_234_taxa_metabolites	234	664	0.897222350982351	0.045220200965851665	0.8927222222167348	0.05278349445960329	0.8256353246753246	0.04805392237817439	0.8404236817761332	0.04347985159144762	0.871578516978919	0.031129960639624334
rf_234_taxa_clinical	234	67	0.7547961904761905	0.06638052172518502	0.7846519941418173	0.06565292489306979	0.6935345454545454	0.06338742239189706	0.6995060129509714	0.06326355360453846	0.7323569527172494	0.061596821831178775
rf_234_clinical_only	234	4	0.7532386546786547	0.0654370963512674	0.7599350397662802	0.06587292939712158	0.708229343989344	0.06108260104183398	0.7120425531914893	0.060550699216093504	0.7385645970006645	0.05849063447454384
rf_234_taxa_sq_clinical	234	120	0.690429090909091	0.07846137176952497	0.7259179176015544	0.07456972484940519	0.6317867465867466	0.06911645288382427	0.6410878815911194	0.06897371435162392	0.6892635102229661	0.06463022475608528
rf_234_sq_clinical	234	57	0.6668792007992008	0.08025512437604052	0.7148624074901985	0.07231625430454115	0.6254357775557776	0.07412384954803616	0.630695652173913	0.07350627853190102	0.6675903508366389	0.07121772698132149
rf_234_taxa_only	234	63	0.5603877322677322	0.07392391949779012	0.6178053213115331	0.0671689029355775	0.5482401465201465	0.06614571907333106	0.5570508788159112	0.06638968803967821	0.6110687629057242	0.06883722848624829
rf_234_taxa_sq	234	116	0.5262691708291709	0.07710653783508623	0.5868071600755954	0.06245876635097038	0.5196066999667001	0.06519471459947081	0.5320795559666975	0.06499641623177711	0.6026779057764354	0.06314043054832293
rf_234_sq_only	234	53	0.4728501098901099	0.07789478514264428	0.5508607905678361	0.05676300412900822	0.48806910422910427	0.06590203893697043	0.49665864939870497	0.06651540710700844	0.5550718262901455	0.0720791703560835
